Reference DOI,Reference URL,Reference Citation,Paper ID,Host Name,Host TaxonID,Virus Name,Virus TaxonID,Sampling Time,,Interaction Type ID,Study Type,Result Type,Measurement Method Name,Measurement Method ID,Result,Confidence Interval,Format,Statistical Method Name,Statistical Method ID,Misc Method Conditions,Use for Prevalence,Locality,LocalityID,Municipality,County,StateProvince,Country,Verbatim Locality,Field Site ID,Habitat Name,Habitat ID,Host Sex,Host Lifestage Name,Host Lifestage ID,Host Material Name,Host Material ID,Misc Host Attributes,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Summer 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 1 | 1,NA,Character string,,,NA,1,NA,,Billerbeck,NA,North Rhine-Westphalia,Germany,"51°59.63′ N, 7°18.99′ E",1,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Summer 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 5 | 5,NA,Character string,,,NA,1,NA,,Billerbeck,NA,North Rhine-Westphalia,Germany,"51°59.63′ N, 7°18.99′ E",2,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Summer 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 2 | 2,NA,Character string,,,NA,1,NA,,Billerbeck,NA,North Rhine-Westphalia,Germany,"51°59.63′ N, 7°18.99′ E",3,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Summer 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,2 | 25 | 27,NA,Character string,,,NA,1,NA,,Gotha,NA,Thuringia,Germany,"50°57.38′ N, 10°39.13′ E",1,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Summer 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 20 | 20,NA,Character string,,,NA,1,NA,,Gotha,NA,Thuringia,Germany,"50°57.38′ N, 10°39.13′ E",2,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Summer 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,2 | 33 | 35,NA,Character string,,,NA,1,NA,,Gotha,NA,Thuringia,Germany,"50°57.38′ N, 10°39.13′ E",3,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 2 | 2,NA,Character string,,,NA,1,NA,,Weissach,NA,Baden-Wuerttemberg,Germany,"48°49.88′ N, 8°57.71′ E",2,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,, 4 | 13 | 17,NA,Character string,,,NA,1,NA,,Weissach,NA,Baden-Wuerttemberg,Germany,"48°49.88′ N, 8°57.71′ E",3,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 15 | 15,NA,Character string,,,NA,1,NA,,Jesser,NA,Mecklenburg-Western Pomerania,Germany,"54°9.75′ N, 13°15.55′ E",1,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,3 | 19 | 22,NA,Character string,,,NA,1,NA,,Jesser,NA,Mecklenburg-Western Pomerania,Germany,"54°9.75′ N, 13°15.55′ E",2,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,5 | 25 | 30,NA,Character string,,,NA,1,NA,,Jesser,NA,Mecklenburg-Western Pomerania,Germany,"54°9.75′ N, 13°15.55′ E",3,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 2 | 2,NA,Character string,,,NA,1,NA,,Billerbeck,NA,North Rhine-Westphalia,Germany,"51°59.63′ N, 7°18.99′ E",1,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Autumn 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,2 | 16 | 18,NA,Character string,,,NA,1,NA,,Billerbeck,NA,North Rhine-Westphalia,Germany,"51°59.63′ N, 7°18.99′ E",2,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
